zip,trip,lat,long
94923,169,38.3309,-123.0373
94928,817,38.347,-122.6941
94931,1187,38.3259,-122.7048
94951,256,38.3153,-122.6483
94952,1989,38.2403,-122.6777
94953,259,38.2324,-122.6367
94954,1725,38.2507,-122.6155
95401,3196,38.4432,-122.7547
95403,2106,38.4822,-122.7473
95404,1297,38.4405,-122.7144
95405,1670,38.4386,-122.6727
95407,812,38.4089,-122.7339
95409,696,38.4592,-122.6393
95433,185,38.2993,-122.4867
95436,96,38.4923,-122.9042
95441,333,38.7173,-122.8834
95442,341,38.3662,-122.5196
95446,102,38.5055,-122.9965
95448,3467,38.6184,-122.862
95450,78,38.4987,-123.1974
95465,84,38.4087,-122.9954
95471,245,38.521,-122.9769
95472,2208,38.3941,-122.8433
95492,1043,38.5443,-122.8073
